iter	Passed	Remaining
902	1951	209
903	1953	207
904	1955	205
905	1957	203
906	1959	200
907	1961	198
908	1963	196
909	1966	194
910	1968	192
911	1970	190
912	1972	187
913	1974	185
914	1977	183
915	1979	181
916	1981	179
917	1984	177
918	1986	175
919	1988	172
920	1990	170
921	1993	168
922	1995	166
923	1997	164
924	2000	162
925	2002	160
926	2005	157
927	2007	155
928	2009	153
929	2011	151
930	2013	149
931	2015	147
932	2017	144
933	2020	142
934	2022	140
935	2024	138
936	2026	136
937	2028	134
938	2030	131
939	2032	129
940	2034	127
941	2036	125
942	2038	123
943	2040	121
944	2042	118
945	2044	116
946	2047	114
947	2049	112
948	2051	110
949	2053	108
950	2055	105
951	2057	103
952	2059	101
953	2061	99
954	2063	97
955	2065	95
956	2067	92
957	2069	90
958	2071	88
959	2074	86
960	2076	84
961	2078	82
962	2080	79
963	2083	77
964	2085	75
965	2087	73
966	2090	71
967	2092	69
968	2094	67
969	2097	64
970	2099	62
971	2101	60
972	2104	58
973	2106	56
974	2108	54
975	2111	51
976	2113	49
977	2115	47
978	2118	45
979	2120	43
980	2122	41
981	2125	38
982	2127	36
983	2129	34
984	2131	32
985	2133	30
986	2135	28
987	2137	25
988	2140	23
989	2142	21
990	2144	19
991	2147	17
992	2149	15
993	2151	12
994	2153	10
995	2155	8
996	2157	6
997	2159	4
998	2161	2
999	2164	0
